"table","code","name"
call_types_sound_sources,GRWH_CALL3:GRWH,GRWH_CALL3:GRWH
call_types_sound_sources,GRWH_CALL4:GRWH,GRWH_CALL4:GRWH
call_types_sound_sources,GRWH_MIX:GRWH,GRWH_MIX:GRWH
call_types_sound_sources,GUNSHOT:BOWH,GUNSHOT:BOWH
call_types_sound_sources,GUNSHOT:HUWH,GUNSHOT:HUWH
call_types_sound_sources,GUNSHOT:NPRW,GUNSHOT:NPRW
call_types_sound_sources,GUNSHOT:RIWH,GUNSHOT:RIWH
call_types_sound_sources,GUNSHOT:SRWH,GUNSHOT:SRWH
call_types_sound_sources,HUWH_MIX:HUWH,HUWH_MIX:HUWH
call_types_sound_sources,HUWH_SOCIAL:HUWH,HUWH_SOCIAL:HUWH
call_types_sound_sources,HUWH_SONG:HUWH,HUWH_SONG:HUWH
call_types_sound_sources,MIWH_BOING:MIWH,MIWH_BOING:MIWH
call_types_sound_sources,MIWH_DS:MIWH,MIWH_DS:MIWH
call_types_sound_sources,MIWH_DS:MIWHAN,MIWH_DS:MIWHAN
call_types_sound_sources,MIWH_PT:MIWH,MIWH_PT:MIWH
call_types_sound_sources,MIWH_PTC:MIWH,MIWH_PTC:MIWH
call_types_sound_sources,MIWH_PTSD:MIWH,MIWH_PTSD:MIWH
call_types_sound_sources,MIWH_PTSU:MIWH,MIWH_PTSU:MIWH
call_types_sound_sources,MIWH_STAR:MIWH,MIWH_STAR:MIWH
call_types_sound_sources,MIWHAN_BIODUCK:MIWHAN,MIWHAN_BIODUCK:MIWHAN
call_types_sound_sources,OD_BURST_PULSE:AHDO,OD_BURST_PULSE:AHDO
call_types_sound_sources,OD_BURST_PULSE:ANBW,OD_BURST_PULSE:ANBW
call_types_sound_sources,OD_BURST_PULSE:ARBW,OD_BURST_PULSE:ARBW
call_types_sound_sources,OD_BURST_PULSE:ARDO,OD_BURST_PULSE:ARDO
call_types_sound_sources,OD_BURST_PULSE:ASDO,OD_BURST_PULSE:ASDO
call_types_sound_sources,OD_BURST_PULSE:AUSDO,OD_BURST_PULSE:AUSDO
call_types_sound_sources,OD_BURST_PULSE:BBWH,OD_BURST_PULSE:BBWH
call_types_sound_sources,OD_BURST_PULSE:BELU,OD_BURST_PULSE:BELU
